block,genotype,id,location,sd,hd,heading,heading_jd,maturity,gfp,yield,tstwt,tkw,hght,soil,asparagine,glutamine,glycine,Lysine,proline,protein,moisture
3,g2,OAC Virgo,pn,10/2/2022,7/31/2023,6/4/2023,155,190,34,7.16,76.8,41.9,78.38,harriston_silt_loam,732.2367242,78.65122469,36.33463906,36.08816286,47.64421334,11.62113,11.08
4,g2,OAC Virgo,pn,10/2/2022,7/31/2023,6/4/2023,155,190,35,6.25,76.8,41.9,68.6,harriston_silt_loam,886.3141239,95.67598164,44.61607196,51.91246919,55.79424301,12.3013,11.04
1,g3,OAC Moon,pn,10/2/2022,7/31/2023,6/4/2023,156,193,37,6.83,76.07,41.41,79.75,harriston_silt_loam,616.2928725,88.59157063,35.7266968,10,45.89998727,12.08753,11.37
2,g3,OAC Moon,pn,10/2/2022,7/31/2023,6/4/2023,155,192,37,6.6,75.38,38.73,79.19,harriston_silt_loam,533.8675791,61.713151,30.3166883,10,39.76134748,12.7094,11.42
3,g3,OAC Moon,pn,10/2/2022,7/31/2023,6/4/2023,156,192,36,6.83,75.14,39.4,78.23,harriston_silt_loam,544.621686,61.48589173,32.01992076,10,38.71945073,12.14583,11.25
4,g3,OAC Moon,pn,10/2/2022,7/31/2023,6/4/2023,156,190,34,7.58,72.4,27.5,80.82,harriston_silt_loam,625.1506708,101.0975499,31.12937195,10,46.00354272,11.85433,11.21
1,g1,OAC Constellation,oa,9/29/2022,7/24/2023,6/4/2023,162,195,33,1.19,80.92,42.17,57.5,sandy_loam,460.074,44.4055,26.9703,38.8575,28.9343,13.3507,11.27
2,g1,OAC Constellation,oa,9/29/2022,7/24/2023,6/4/2023,155,186,31,6.15,80.06,39.31,65.5,sandy_loam,635.6124,40.1845,25.1413,37.6352,38.1535,11.50453,11.34
3,g1,OAC Constellation,oa,9/29/2022,7/24/2023,6/4/2023,154,186,32,7.42,79.42,36.93,64.5,sandy_loam,656.1,44.9367,26.0893,39.6994,39.4008,11.75717,11.36
4,g1,OAC Constellation,oa,9/29/2022,7/24/2023,6/4/2023,156,186,30,6.8,81.03,41.46,67.5,sandy_loam,584.5984,42.1984,20.9623,36.3905,35.8688,10.7855,11.3
1,g2,OAC Virgo,oa,9/29/2022,7/24/2023,6/3/2023,154,190,36,6.45,79.05,41.6,65.5,sandy_loam,534.622306,35.36910549,40.67048927,15.35364361,45.48691831,11.34907,11.52
2,g2,OAC Virgo,oa,9/29/2022,7/24/2023,6/3/2023,154,186,32,8.06,79.53,36.98,68.5,sandy_loam,547.5942149,39.35035857,35.96055659,18.49361385,37.80467831,11.1353,11.5
3,g2,OAC Virgo,oa,9/29/2022,7/24/2023,6/3/2023,153,186,33,7.43,78.39,38.61,72.5,sandy_loam,588.0095661,40.65935511,36.71481143,25.69295645,40.95360899,10.8438,11.47
4,g2,OAC Virgo,oa,9/29/2022,7/24/2023,6/3/2023,154,186,32,7.07,80,41.07,70.5,sandy_loam,532.6291125,38.4919067,32.31890237,27.53724831,41.83569394,10.29967,11.49
1,g3,OAC Moon,oa,9/29/2022,7/24/2023,6/3/2023,154,186,32,7.66,78.85,34.01,73.5,sandy_loam,617.2342748,143.13661,41.03751063,41.19067723,83.89979455,10.29967,11.35
2,g3,OAC Moon,oa,9/29/2022,7/24/2023,6/3/2023,154,188,34,7.07,77.17,31.48,66.5,sandy_loam,687.7401238,154.5581744,45.07378538,38.34675431,92.40283944,12.1847,11.29
3,g3,OAC Moon,oa,9/29/2022,7/24/2023,6/3/2023,153,190,37,10.15,78.17,31.68,79,sandy_loam,578.4265324,96.20228512,48.0294371,40.19605722,88.55368517,12.0098,11.43
4,g3,OAC Moon,oa,9/29/2022,7/24/2023,6/3/2023,155,188,33,7.73,77.29,33.23,74.5,sandy_loam,660.7277729,135.4838191,40.71657338,41.24363546,86.91119353,11.09643,11.42
1,g1,OAC Constellation,wr,9/30/2022,7/23/2023,6/3/2023,154,190,36,9.35,75.15,33.55,82.5,clay_loam,521.1999,23.5452,27.7968,52.1608,25.0518,10.9021,10.98
2,g1,OAC Constellation,wr,9/30/2022,7/23/2023,6/3/2023,154,190,36,9.65,75.55,32.85,92.5,clay_loam,538.2463,31.1324,27.1093,41.4854,24.5433,10.8438,11.14
3,g1,OAC Constellation,wr,9/30/2022,7/23/2023,6/3/2023,154,190,36,9.55,75.85,32.4,85,clay_loam,565.0894,32.8573,25.3155,39.9485,26.9281,11.32963,11.05
4,g1,OAC Constellation,wr,9/30/2022,7/23/2023,6/3/2023,154,190,36,9.55,75.85,32.4,85,clay_loam,588.0376,28.9994,27.3203,44.3561,25.9045,11.52397,11.11
1,g2,OAC Virgo,wr,9/30/2022,7/23/2023,6/3/2023,154,191,38,9.35,74.95,30.6,87.5,clay_loam,516.4087213,36.14328946,42.03627381,44.78949152,33.68296967,10.97983,11.65
2,g2,OAC Virgo,wr,9/30/2022,7/23/2023,6/3/2023,153,192,39,9.3,73,29.35,95,clay_loam,512.7960783,45.30330186,42.21124825,41.45966339,38.48757302,10.88267,11.49
3,g2,OAC Virgo,wr,9/30/2022,7/23/2023,6/3/2023,154,190,36,8.4,74.8,29.3,90,clay_loam,471.5682332,43.20780381,37.58974448,34.8052849,33.51924306,10.92153,11.49
4,g2,OAC Virgo,wr,9/30/2022,7/23/2023,6/3/2023,154,190,36,8.25,74.35,29.15,87.5,clay_loam,532.400986,42.87853266,40.82701357,27.53998438,39.2325466,11.21303,11.41
1,g3,OAC Moon,wr,9/30/2022,7/23/2023,6/3/2023,153,193,40,10,74.3,29.25,82.5,clay_loam,579.2291998,103.4359187,45.88055955,40.39893304,70.69952664,11.66,11.51
2,g3,OAC Moon,wr,9/30/2022,7/23/2023,6/3/2023,154,192,38,9.8,73.1,28.05,85,clay_loam,549.5231362,97.21474506,48.95792304,42.662105,65.63464369,11.27133,11.6
3,g3,OAC Moon,wr,9/30/2022,7/23/2023,6/3/2023,154,192,38,8.95,72,25.9,82.5,clay_loam,530.5883012,93.66116848,46.62266844,39.35095254,65.35082082,10.22193,11.48
4,g3,OAC Moon,wr,9/30/2022,7/23/2023,6/3/2023,153,190,37,9.35,73.25,26.3,82.5,clay_loam,495.17901,83.99334904,45.39065624,47.30294626,63.29674555,11.81547,11.34
