"location","latitude","longitude","Start","End","DOY","Year","Month","Day","Date","DL","PP","Rad","SWE","Tmax","Tmin","VPD","Tmean","ET0_HS","EPE_i","ETE_i","DT","TT"
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,294,2022,10,21,2022-10-21,10.4749722222222,0,12.520818097,0,15.46,-2.14,0.5219,6.66,1.8826005999986,0,0,17.6,1.66
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,295,2022,10,22,2022-10-22,10.4278666666667,0,11.3773447824,0,20.38,5.16,0.88203,12.77,2.16537728725448,0,0,15.22,7.77
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,296,2022,10,23,2022-10-23,10.3810694444444,0,11.201838319,0,21.11,5.68,0.91403,13.395,2.20194425484141,0,0,15.43,8.395
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,297,2022,10,24,2022-10-24,10.3345888888889,0,11.4173230976,0,20.26,3.49,0.78448,11.875,2.16136094817575,0,0,16.77,6.875
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,298,2022,10,25,2022-10-25,10.2884416666667,0,10.707798549,0,19.43,4.49,0.84131,11.96,2.02505137298342,0,0,14.94,6.96
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,299,2022,10,26,2022-10-26,10.2426388888889,4.76,5.633902065,0,14.88,6.23,0.94958,10.555,1.45328705079808,0,0,8.65,5.555
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,300,2022,10,27,2022-10-27,10.1971972222222,0,8.4737485253,0,9.8,-0.31,0.59697,4.745,1.23667477900746,0,0,10.11,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,301,2022,10,28,2022-10-28,10.1521305555556,0,9.31965585,0,10.51,-1.64,0.54152,4.435,1.32374116318646,0,0,12.15,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,302,2022,10,29,2022-10-29,10.1074555555556,0,10.6347817268,0,14.9,-2.11,0.52311,6.395,1.68747696470821,0,0,17.01,1.395
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,303,2022,10,30,2022-10-30,10.0631833333333,0,10.3360566126,0,15.3,-1.29,0.55573,7.005,1.69176856496206,0,0,16.59,2.005
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,304,2022,10,31,2022-10-31,10.0193305555556,5.42,5.579965573,0,13.02,3.37,0.7775,8.195,1.33902501449989,0,0,9.65,3.195
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,305,2022,11,1,2022-11-01,9.97591666666667,0,7.690474062,0,16.67,6.12,0.94221,11.395,1.5572806226919,0,0,10.55,6.395
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,306,2022,11,2,2022-11-02,9.93295277777778,0,9.5711549058,0,17.8,2.13,0.71195,9.965,1.78773699139981,0,0,15.67,4.965
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,307,2022,11,3,2022-11-03,9.89045833333333,0,8.84444346,0,16.04,2.62,0.73727,9.33,1.60133115903211,0,0,13.42,4.33
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,308,2022,11,4,2022-11-04,9.84844722222222,0,9.3890368562,0,20.81,4.4,0.83633,12.605,1.96600435566478,0,0,16.41,7.605
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,309,2022,11,5,2022-11-05,9.80694166666667,2.57,5.6459740008,0,22.71,11.12,1.32222,16.915,1.86905728380286,0,0,11.59,11.915
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,310,2022,11,6,2022-11-06,9.76595,0,5.4325245384,0,16.5,9.12,1.15714,12.81,1.30311967408891,0,0,7.38,7.81
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,311,2022,11,7,2022-11-07,9.72549722222222,0,4.915655316,0,10.79,4.41,0.83675,7.6,0.996365030671454,0,0,6.38,2.6
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,312,2022,11,8,2022-11-08,9.6856,0,7.630896816,0,9.78,-1.32,0.55437,4.23,1.12976115367185,0,0,11.1,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,313,2022,11,9,2022-11-09,9.64626944444444,0,8.6799061715,0,14.9,-0.18,0.6028,7.36,1.49078433474218,0,0,15.08,2.36
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,314,2022,11,10,2022-11-10,9.60753333333333,0,8.1618685776,0,19.22,5.13,0.87994,12.175,1.70203982209933,0,0,14.09,7.175
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,315,2022,11,11,2022-11-11,9.5694,2.68,3.965176584,0,13.59,6.2,0.94786,9.895,1.12925181860013,0,0,7.39,4.895
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,316,2022,11,12,2022-11-12,9.53189722222222,3.59,2.5537096486,0,6.47,2.05,0.70814,4.26,0.689856403631667,0,0,4.42,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,317,2022,11,13,2022-11-13,9.49503611111111,2.2,2.0998082459,0,1.81,-1.66,0.54086,0.0750000000000001,0.491238441603386,0,0,3.47,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,318,2022,11,14,2022-11-14,9.45883611111111,0,4.0208377248,0,1.64,-3.54,0.47018,-0.95,0.56124497553042,0,0,5.18,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,319,2022,11,15,2022-11-15,9.42331944444444,3.99,1.713837954,0,-0.35,-3.09,0.48628,-1.72,0.386477049882944,0,0,2.74,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,320,2022,11,16,2022-11-16,9.38850277777778,1.52,3.3007722526,0,0.23,-3.99,0.4546,-1.88,0.471201744418108,0,0,4.22,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,321,2022,11,17,2022-11-17,9.35440555555556,2.6,3.273293592,0,0.17,-5.66,0.40052,-2.745,0.519804799484606,0,0,5.83,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,322,2022,11,18,2022-11-18,9.32104444444445,0,2.932773424,0,-0.95,-4.77,0.4288,-2.86,0.414476104340125,0,0,3.82,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,323,2022,11,19,2022-11-19,9.28844166666667,4.6,2.280498198,4.6,-3.42,-6.96,0.36259,-5.19,0.334350593906698,0,0,3.54,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,324,2022,11,20,2022-11-20,9.25661111111111,1.38,4.001855142,5.97,-4.17,-8.83,0.31358,-6.5,0.341352416549107,0,0,4.66,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,325,2022,11,21,2022-11-21,9.225575,0,8.3737592091,5.97,3.26,-9.82,0.2901,-3.28,0.729840765670498,0,0,13.08,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,326,2022,11,22,2022-11-22,9.19535277777778,0,7.6329519966,5.95,5.15,-5.94,0.392,-0.395,0.800212101832872,0,0,11.09,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,327,2022,11,23,2022-11-23,9.16596111111111,0,7.5221009816,5.59,5.74,-5.15,0.41647,0.295,0.819084893676542,0,0,10.89,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,328,2022,11,24,2022-11-24,9.13741944444445,0.68,8.0700592043,4.78,9.16,-4.06,0.4522,2.55,1.00858548500755,0,0,13.22,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,329,2022,11,25,2022-11-25,9.10974166666667,0.95,5.6227147515,2.86,5.89,-1.44,0.54976,2.225,0.734547797262401,0,0,7.33,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,330,2022,11,26,2022-11-26,9.08295,0,7.7453221194,1.31,10.68,-2.31,0.51542,4.185,1.06727910781197,0,0,12.99,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,331,2022,11,27,2022-11-27,9.05706388888889,5.98,2.9589427725,0,5.16,-0.38,0.59387,2.39,0.636472466691303,0,0,5.54,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,332,2022,11,28,2022-11-28,9.03209444444444,0,2.3837142374,0,1.66,-1.4,0.55119,0.13,0.417794276509727,0,0,3.06,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,333,2022,11,29,2022-11-29,9.00806111111111,4.2,4.3866735354,0,7.02,-1.9,0.53144,2.56,0.805764023309622,0,0,8.92,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,334,2022,11,30,2022-11-30,8.98498333333333,7.57,4.6435831464,0,7.98,-2.14,0.52185,2.92,0.869057404904909,0,0,10.12,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,335,2022,12,1,2022-12-01,8.96287222222222,0,3.8780914046,0,-0.86,-6,0.39029,-3.43,0.427487667305075,0,0,5.14,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,336,2022,12,2,2022-12-02,8.94174722222222,3.27,5.8879259439,3.27,7.82,-6.62,0.37235,0.6,0.913273550713895,0,0,14.44,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,337,2022,12,3,2022-12-03,8.92162222222222,5.25,5.3061883464,1.73,8.73,-2.34,0.51422,3.195,0.908452156139485,0,0,11.07,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,338,2022,12,4,2022-12-04,8.90251388888889,0,5.343217616,1.42,1.38,-5.27,0.41276,-1.945,0.529544334206413,0,0,6.65,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,339,2022,12,5,2022-12-05,8.88443055555556,0,6.067355315,0.73,3.71,-4.34,0.44286,-0.315,0.64003378985354,0,0,8.05,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,340,2022,12,6,2022-12-06,8.86739166666667,0,4.9052282526,0,6.15,-0.91,0.57139,2.62,0.697451180849078,0,0,7.06,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,341,2022,12,7,2022-12-07,8.85140833333333,0,3.37769742,0,6.86,2.31,0.7213,4.585,0.611699801288716,0,0,4.55,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,342,2022,12,8,2022-12-08,8.83649166666667,0,3.4947971082,0,3.32,-1.25,0.55731,1.035,0.514189878562074,0,0,4.57,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,343,2022,12,9,2022-12-09,8.82265277777778,0,3.3530668335,0,0.14,-4.05,0.45261,-1.955,0.412979703904637,0,0,4.19,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,344,2022,12,10,2022-12-10,8.80990555555556,5.44,2.289870652,0,-1.19,-4.85,0.42617,-3.02,0.35907103495566,0,0,3.66,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,345,2022,12,11,2022-12-11,8.79825555555556,3.53,2.6688276472,0,-0.35,-4.69,0.43141,-2.52,0.403252129729376,0,0,4.34,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,346,2022,12,12,2022-12-12,8.78771388888889,0,2.5333924616,0,-2.67,-5.63,0.40146,-4.15,0.296850561281991,0,0,2.96,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,347,2022,12,13,2022-12-13,8.77828888888889,0,6.505238764,0,-0.27,-11.82,0.24726,-6.045,0.504002223779774,0,0,11.55,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,348,2022,12,14,2022-12-14,8.76998888888889,4.34,4.8882865668,4.34,-0.95,-9.96,0.28686,-5.455,0.466703358391329,0,0,9.01,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,349,2022,12,15,2022-12-15,8.76282222222222,9.98,3.4230738216,3.85,0.61,-4.84,0.42624,-2.115,0.460520006125935,0,0,5.45,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,350,2022,12,16,2022-12-16,8.75678888888889,2.38,2.3977489064,2.24,1.51,-2.17,0.52086,-0.33,0.420989216865218,0,0,3.68,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,351,2022,12,17,2022-12-17,8.7519,0,2.4294924324,1.42,-1.37,-4.05,0.45275,-2.71,0.310034299981339,0,0,2.68,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,352,2022,12,18,2022-12-18,8.74815555555555,1.96,3.1754754888,0.94,-1.27,-4.86,0.42565,-3.065,0.350154927741815,0,0,3.59,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,353,2022,12,19,2022-12-19,8.74555833333333,1.47,2.8395428619,0.42,-1.57,-4.74,0.42949,-3.155,0.326890803836852,0,0,3.17,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,354,2022,12,20,2022-12-20,8.74411388888889,0,3.3361242838,0.27,-1.88,-5.65,0.40085,-3.765,0.341585005936541,0,0,3.77,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,355,2022,12,21,2022-12-21,8.74381944444445,0,5.0965625025,0.27,-2.03,-8.09,0.33207,-5.06,0.393155828035305,0,0,6.06,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,356,2022,12,22,2022-12-22,8.74468055555556,3.26,4.8886611965,3.53,2.37,-6.76,0.36836,-2.195,0.591306508340681,0,0,9.13,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,357,2022,12,23,2022-12-23,8.74668888888889,5.69,5.1146088344,9.22,-0.88,-10.64,0.27174,-5.76,0.471987579780164,0,0,9.76,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,358,2022,12,24,2022-12-24,8.74985,4.65,4.643020404,13.86,-8.7,-16.28,0.17144,-12.49,0.183605194460227,0,0,7.58,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,359,2022,12,25,2022-12-25,8.75415833333333,3.45,4.1483155011,17.31,-6.79,-13.12,0.2226,-9.955,0.248163581305029,0,0,6.33,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,360,2022,12,26,2022-12-26,8.75961111111111,0,4.053142138,17.31,-7.26,-11.4,0.25562,-9.33,0.216982467848175,0,0,4.14,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,361,2022,12,27,2022-12-27,8.7662,0,6.1295724936,17.31,-2.1,-9.38,0.3003,-5.74,0.41035704061524,0,0,7.28,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,362,2022,12,28,2022-12-28,8.773925,0,6.7332153321,17.14,3.46,-5.59,0.40286,-1.065,0.636086613321306,0,0,9.05,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,363,2022,12,29,2022-12-29,8.78278055555555,0,6.7741586425,15.38,7.61,-1.82,0.53448,2.895,0.804662677891317,0,0,9.43,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,364,2022,12,30,2022-12-30,8.79275277777778,16.84,3.5006059069,11.2,9.2,3.95,0.81024,6.575,0.708845411506762,0,0,5.25,1.575
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,365,2022,12,31,2022-12-31,8.80383888888889,10.88,2.3846430168,6.95,7.47,4.13,0.82055,5.8,0.548851440350773,0,0,3.34,0.8
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,1,2023,1,1,2023-01-01,8.81608611111111,1.46,2.9138575171,0,3.15,0.33,0.62572,1.74,0.418762579310408,0,0,2.82,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,2,2023,1,2,2023-01-02,8.82937777777778,0,3.7399125216,0,3.22,-0.47,0.59028,1.375,0.471544310053189,0,0,3.69,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,3,2023,1,3,2023-01-03,8.84375,5.3,3.231187875,0,2.88,-1.44,0.54951,0.72,0.494444004448124,0,0,4.32,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,4,2023,1,4,2023-01-04,8.85919722222222,12.25,1.5736060474,0,2.46,0.54,0.63496,1.5,0.344751856716585,0,0,1.92,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,5,2023,1,5,2023-01-05,8.87570555555556,4.19,1.2800187524,0,2.02,0.53,0.63466,1.275,0.301317171007575,0,0,1.49,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,6,2023,1,6,2023-01-06,8.89326388888889,0.75,2.02083414,0,1.84,0.04,0.61262,0.94,0.326694271441938,0,0,1.8,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,7,2023,1,7,2023-01-07,8.91185555555555,0,4.5563822136,0,0.45,-3.96,0.45565,-1.755,0.439708615507856,0,0,4.41,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,8,2023,1,8,2023-01-08,8.93147222222222,0,4.96446952,0,-2.42,-7.23,0.35501,-4.825,0.373040265895188,0,0,4.81,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,9,2023,1,9,2023-01-09,8.95209444444444,0,4.777732805,0,-0.37,-4.93,0.42353,-2.65,0.426126940975247,0,0,4.56,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,10,2023,1,10,2023-01-10,8.97370833333333,0,3.125865666,0,-0.55,-3.32,0.47822,-1.935,0.349533632888181,0,0,2.77,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,11,2023,1,11,2023-01-11,8.9963,0,5.2395170904,0,0.35,-4.68,0.43172,-2.165,0.466607274698507,0,0,5.03,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,12,2023,1,12,2023-01-12,9.01985555555556,2.34,4.1894703496,0,2.05,-3.42,0.47466,-0.685,0.535543696038808,0,0,5.47,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,13,2023,1,13,2023-01-13,9.04435277777778,0,3.8918573551,0,-3.29,-6.66,0.3712,-4.975,0.316769961999211,0,0,3.37,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,14,2023,1,14,2023-01-14,9.06978055555556,0,7.5525513851,0,-3.84,-13.42,0.21711,-8.63,0.384115778200506,0,0,9.58,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,15,2023,1,15,2023-01-15,9.09611666666667,0,7.9838071362,0,-0.26,-13.62,0.21358,-6.94,0.540469237008425,0,0,13.36,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,16,2023,1,16,2023-01-16,9.12335,2.25,6.624646902,2.25,2.64,-9.22,0.30404,-3.29,0.684641787467715,0,0,11.86,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,17,2023,1,17,2023-01-17,9.15145833333333,4.06,5.5858671375,1.06,3.6,-3.18,0.48314,0.21,0.646672082120065,0,0,6.78,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,18,2023,1,18,2023-01-18,9.180425,0,2.8792750536,0,2.53,0.21,0.61995,1.37,0.405329342484669,0,0,2.32,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,19,2023,1,19,2023-01-19,9.21023055555556,2.13,2.244717391,0,1.77,-0.61,0.58396,0.58,0.396319142868184,0,0,2.38,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,20,2023,1,20,2023-01-20,9.24085833333333,0,4.2195976956,0,1.33,-2.08,0.52437,-0.375,0.452909187229425,0,0,3.41,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,21,2023,1,21,2023-01-21,9.27228888888889,0,3.15443268,0,-0.76,-3.18,0.48301,-1.97,0.349123432932917,0,0,2.42,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,22,2023,1,22,2023-01-22,9.30450277777778,2.72,3.111797909,0,-1,-4.22,0.44689,-2.61,0.389298454742581,0,0,3.22,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,23,2023,1,23,2023-01-23,9.33748611111111,1.76,6.006991565,0,-0.04,-5,0.4214,-2.52,0.489714753929484,0,0,4.96,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,24,2023,1,24,2023-01-24,9.37121388888889,0,6.2462889055,0,0.61,-4.53,0.43658,-1.96,0.520800419976563,0,0,5.14,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,25,2023,1,25,2023-01-25,9.40566944444445,11.06,4.7262360278,0,-0.11,-5.2,0.41488,-2.655,0.499447684704024,0,0,5.09,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,26,2023,1,26,2023-01-26,9.44083611111111,2.64,3.351119186,0,-1.81,-5.08,0.41861,-3.445,0.382503904035039,0,0,3.27,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,27,2023,1,27,2023-01-27,9.47669444444444,1.88,6.384828115,0,-0.25,-5.22,0.41424,-2.735,0.498965885753918,0,0,4.97,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,28,2023,1,28,2023-01-28,9.51322222222222,4.57,4.33917092,0,-0.58,-4.87,0.42542,-2.725,0.467778224695712,0,0,4.29,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,29,2023,1,29,2023-01-29,9.55040555555555,4.47,6.425894874,4.47,-0.46,-6.77,0.36782,-3.615,0.538384266438028,0,0,6.31,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,30,2023,1,30,2023-01-30,9.58822222222222,1.33,9.835099768,5.81,-3.81,-11.81,0.2474,-7.81,0.430640544052294,0,0,8,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,31,2023,1,31,2023-01-31,9.62665833333333,0,9.003621006,5.81,-7.43,-13.88,0.20921,-10.655,0.278998832815857,0,0,6.45,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,32,2023,2,1,2023-02-01,9.66568888888889,0,10.9128720576,5.81,-5.61,-16.19,0.17267,-10.9,0.348165568504426,0,0,10.58,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,33,2023,2,2,2023-02-02,9.70530277777778,1.62,10.9093814616,7.43,-1.21,-11.5,0.25373,-6.355,0.574707248009159,0,0,10.29,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,34,2023,2,3,2023-02-03,9.74548055555556,0,10.8012279551,7.43,-12.02,-21.21,0.11236,-16.615,0.0567521392121553,0,0,9.19,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,35,2023,2,4,2023-02-04,9.7862,0,12.0167098488,7.43,-2.25,-23.53,0.09153,-12.89,0.361166918558854,0,0,21.28,0
"ea",43.6388,-80.403454,2022-09-24,2023-07-31,36,2023,2,5,2023-02-05,9.82745,0,11.5366794138,7.43,3,-9.55,0.29629,-3.275,0.828252433279412,0,0,12.55,0
